时间	阶段	任务	翻译方	单元	待看	结论	备注
2026-09-23 14:15:04	检查	正文 Johnson - Sci-Hub. INFECTION POTENTIAL AND GROWTH OF LAGENID	豆包	36	0	过	
2026-09-23 18:57:49	复制	正文 Johnson - Sci-Hub. INFECTION POTENTIAL AND GROWTH OF LAGENID	豆包	36	0	已复制	
2026-09-23 18:59:23	检查	正文 Johnson - Sci-Hub. INFECTION POTENTIAL AND GROWTH OF LAGENID	豆包	36	0	未过	翻译方
2026-09-23 19:01:01	检查	正文 Johnson - Sci-Hub. INFECTION POTENTIAL AND GROWTH OF LAGENID	豆包	36	0	过	
2026-09-23 19:19:51	出稿	正文 Johnson - Sci-Hub. INFECTION POTENTIAL AND GROWTH OF LAGENID	豆包	36	0	出稿失败	排版/注入未过
2026-09-23 19:28:09	出稿	正文 Johnson - Sci-Hub. INFECTION POTENTIAL AND GROWTH OF LAGENID	豆包	36	0	已出稿	D:\zotero-pdf2zh\server\translated\Johnson - Sci-Hub. INFECTION POTENTIAL AND GROWTH OF LAGENIDIUM CHTHAMALOPHILUM  American Journal of Botany,-mono.pdf
2026-09-24 16:58:53	复制	正文 Hagihara _ - 2022 - Calcium-mediated rapid movements defend 	DeepSeek 网页版	90	0	已复制	
2026-09-24 17:01:09	检查	正文 Hagihara _ - 2022 - Calcium-mediated rapid movements defend 	DeepSeek 网页版	90	5	未过	翻译方
2026-09-24 17:02:51	检查	正文 Hagihara _ - 2022 - Calcium-mediated rapid movements defend 	DeepSeek 网页版	90	5	未过	翻译方
2026-09-24 17:03:15	检查	正文 Hagihara _ - 2022 - Calcium-mediated rapid movements defend 	DeepSeek 网页版	90	5	未过	翻译方
2026-09-24 17:05:32	检查	正文 Hagihara _ - 2022 - Calcium-mediated rapid movements defend 	DeepSeek 网页版	90	5	未过	翻译方
2026-09-24 17:05:48	检查	正文 Hagihara _ - 2022 - Calcium-mediated rapid movements defend 	DeepSeek 网页版	90	5	未过	翻译方
2026-09-24 17:41:55	检查	正文 Hagihara _ - 2022 - Calcium-mediated rapid movements defend 	DeepSeek 网页版	90	0	未过	翻译方
2026-09-24 17:42:14	检查	正文 Hagihara _ - 2022 - Calcium-mediated rapid movements defend 	DeepSeek 网页版	90	0	未过	翻译方
2026-09-24 18:21:45	检查	正文 Hagihara _ - 2022 - Calcium-mediated rapid movements defend 	DeepSeek 网页版	90	0	未过	翻译方
2026-09-24 18:23:16	检查	正文 Hagihara _ - 2022 - Calcium-mediated rapid movements defend 	DeepSeek 网页版	90	0	过	
2026-09-24 18:23:27	出稿	正文 Hagihara _ - 2022 - Calcium-mediated rapid movements defend 	DeepSeek 网页版	90	0	出稿失败	排版/注入未过
2026-09-24 18:42:55	检查	正文 Hagihara _ - 2022 - Calcium-mediated rapid movements defend 	DeepSeek 网页版	90	0	过	
2026-09-24 18:44:05	出稿	正文 Hagihara _ - 2022 - Calcium-mediated rapid movements defend 	DeepSeek 网页版	90	0	已出稿	D:\zotero-pdf2zh\server\translated\Hagihara 等 - 2022 - Calcium-mediated rapid movements defend against herbivorous insects in Mimosa pudica 3-mono.pdf
